dist;gamma
0;0
0.5;0.00761480771802438
1;0.0151860925358296
1.5;0.0227141032112194
2;0.0301990870802072
2.5;0.0376412900651418
3;0.0450409566827881
3.5;0.0523983300523606
4;0.0597136519035105
4.5;0.0669871625842687
5;0.0742191010689422
5.5;0.0814097049659656
6;0.0885592105257081
6.5;0.0956678526482354
7;0.102735864891027
7.5;0.109763479476651
8;0.116750927300393
8.5;0.123698437937842
9;0.130606239652435
9.5;0.137474559402953
10;0.144303622850981
10.5;0.151093654368324
11;0.157844877044373
11.5;0.164557512693438
12;0.171231781862038
12.5;0.177867903836144
13;0.184466096648382
13.5;0.191026577085204
14;0.197549560694
14.5;0.204035261790192
15;0.210483893464264
15.5;0.216895667588769
16;0.223270794825293
16.5;0.229609484631369
17;0.235911945267364
17.5;0.242178383803321
18;0.248409006125758
18.5;0.254604016944442
19;0.260763619799103
19.5;0.266888017066129
20;0.272977409965216
20.5;0.279031998565973
21;0.285051981794501
21.5;0.291037557439925
22;0.296988922160895
22.5;0.302906271492048
23;0.308789799850427
23.5;0.314639700541877
24;0.320456165767388
24.5;0.326239386629415
25;0.331989553138155
25.5;0.337706854217791
26;0.343391477712696
26.5;0.349043610393609
27;0.354663437963769
27.5;0.360251145065016
28;0.365806915283858
28.5;0.371330931157506
29;0.376823374179864
29.5;0.382284424807499
30;0.387714262465568
30.5;0.393113065553711
31;0.398481011451914
31.5;0.403818276526338
32;0.409125036135112
32.5;0.414401464634094
33;0.419647735382601
33.5;0.424864020749105
34;0.430050492116893
34.5;0.435207319889703
35;0.44033467349732
35.5;0.445432721401139
36;0.450501631099708
36.5;0.455541569134225
37;0.460552701094011
37.5;0.465535191621952
38;0.470489204419906
38.5;0.475414902254086
39;0.480312446960401
39.5;0.48518199944978
40;0.490023719713454
40.5;0.494837766828216
41;0.499624298961643
41.5;0.504383473377298
42;0.509115446439893
42.5;0.51382037362043
43;0.518498409501304
43.5;0.523149707781387
44;0.527774421281076
44.5;0.532372701947311
45;0.536944700858573
45.5;0.541490568229842
46;0.546010453417538
46.5;0.550504504924422
47;0.554972870404482
47.5;0.559415696667776
48;0.563833129685265
48.5;0.568225314593601
49;0.572592395699899
49.5;0.576934516486479
50;0.581251819615576
50.5;0.585544446934035
51;0.589812539477963
51.5;0.594056237477367
52;0.598275680360763
52.5;0.602471006759751
53;0.606642354513576
53.5;0.610789860673656
54;0.61491366150808
54.5;0.619013892506089
55;0.623090688382529
55.5;0.627144183082272
56;0.631174509784624
56.5;0.635181800907691
57;0.639166188112741
57.5;0.64312780230852
58;0.647066773655557
58.5;0.650983231570444
59;0.654877304730081
59.5;0.658749121075909
60;0.662598807818111
60.5;0.666426491439793
61;0.67023229770114
61.5;0.674016351643544
62;0.677778777593718
62.5;0.681519699167777
63;0.685239239275301
63.5;0.688937520123372
64;0.692614663220591
64.5;0.696270789381067
65;0.699906018728392
65.5;0.703520470699582
66;0.707114264049002
66.5;0.710687516852273
67;0.714240346510144
67.5;0.717772869752355
68;0.721285202641469
68.5;0.724777460576687
69;0.728249758297638
69.5;0.731702209888149
70;0.735134928779997
70.5;0.738548027756629
71;0.741941618956873
71.5;0.745315813878622
72;0.748670723382493
72.5;0.752006457695474
73;0.755323126414545
73.5;0.758620838510275
74;0.761899702330407
74.5;0.765159825603416
75;0.768401315442047
75.5;0.771624278346836
76;0.77482882020961
76.5;0.778015046316963
77;0.781183061353718
77.5;0.784332969406364
78;0.78746487396648
78.5;0.790578877934129
79;0.793675083621247
79.5;0.796753592754995
80;0.79981450648111
80.5;0.802857925367221
81;0.805883949406159
81.5;0.80889267801924
82;0.81188421005953
82.5;0.814858643815095
83;0.817816077012228
83.5;0.820756606818664
84;0.823680329846768
84.5;0.826587342156712
85;0.829477739259629
85.5;0.832351616120755
86;0.835209067162542
86.5;0.838050186267769
87;0.840875066782619
87.5;0.843683801519751
88;0.846476482761348
88.5;0.849253202262147
89;0.852014051252456
89.5;0.85475912044115
90;0.857488500018652
90.5;0.860202279659898
91;0.862900548527278
91.5;0.865583395273571
92;0.868250908044856
92.5;0.870903174483406
93;0.873540281730572
93.5;0.876162316429639
94;0.878769364728681
94.5;0.881361512283385
95;0.88393884425987
95.5;0.88650144533748
96;0.88904939971157
96.5;0.891582791096274
97;0.894101702727248
97.5;0.896606217364412
98;0.899096417294668
98.5;0.901572384334599
99;0.904034199833164
99.5;0.906481944674363
100;0.908915699279902
100.5;0.911335543611829
101;0.913741557175167
101.5;0.91613381902052
102;0.918512407746676
102.5;0.920877401503186
103;0.923228877992931
103.5;0.925566914474678
104;0.927891587765618
104.5;0.930202974243885
105;0.932501149851072
105.5;0.934786190094723
106;0.937058170050812
106.5;0.939317164366215
107;0.941563247261155
107.5;0.943796492531648
108;0.946016973551924
108.5;0.948224763276836
109;0.950419934244262
109.5;0.952602558577482
110;0.954772707987555
110.5;0.956930453775667
111;0.95907586683548
111.5;0.961209017655459
112;0.963329976321187
112.5;0.965438812517668
113;0.96753559553162
113.5;0.969620394253745
114;0.971693277180997
114.5;0.973754312418833
115;0.975803567683448
115.5;0.977841110304
116;0.979867007224825
116.5;0.981881325007633
117;0.983884129833697
117.5;0.985875487506027
118;0.987855463451532
118.5;0.989824122723169
119;0.991781530002081
119.5;0.993727749599721
120;0.99566284545997
120.5;0.997586881161228
121;0.999499919918512
121.5;1.00140202458553
122;1.00329325765675
122.5;1.00517368126943
123;1.00704335720571
123.5;1.00890234689458
124;1.01075071141395
124.5;1.01258851149262
125;1.0144158075123
125.5;1.01623265950959
126;1.01803912717794
126.5;1.01983526986961
127;1.02162114659764
127.5;1.02339681603778
128;1.02516233653041
128.5;1.02691776608245
129;1.02866316236929
129.5;1.03039858273669
130;1.03212408420261
130.5;1.03383972345915
131;1.03554555687436
131.5;1.03724164049415
132;1.03892803004405
132.5;1.04060478093112
133;1.04227194824573
133.5;1.04392958676338
134;1.04557775094648
134.5;1.04721649494617
135;1.0488458726041
135.5;1.05046593745417
136;1.05207674272428
136.5;1.05367834133816
137;1.05527078591699
137.5;1.05685412878123
138;1.05842842195229
138.5;1.05999371715425
139;1.06155006581554
139.5;1.06309751907067
140;1.06463612776188
140.5;1.06616594244081
141;1.06768701337019
141.5;1.06919939052544
142;1.07070312359637
142.5;1.07219826198877
143;1.07368485482605
143.5;1.07516295095085
144;1.07663259892667
144.5;1.0780938470394
145;1.07954674329899
145.5;1.08099133544096
146;1.082427670928
146.5;1.08385579695154
147;1.08527576043325
147.5;1.08668760802666
148;1.08809138611862
148.5;1.08948714083086
149;1.0908749180215
149.5;1.09225476328654
150;1.0936267219614
150.5;1.09499083912238
151;1.09634715958811
151.5;1.09769572792109
152;1.09903658842911
152.5;1.10036978516672
153;1.10169536193666
153.5;1.10301336229133
154;1.10432382953419
154.5;1.10562680672121
155;1.10692233666226
155.5;1.10821046192253
156;1.10949122482392
156.5;1.11076466744646
157;1.11203083162964
157.5;1.11328975897382
158;1.11454149084161
158.5;1.1157860683592
159;1.1170235324177
159.5;1.11825392367453
160;1.11947728255473
160.5;1.12069364925226
161;1.12190306373139
161.5;1.12310556572793
162;1.12430119475061
162.5;1.12548999008234
163;1.12667199078149
163.5;1.12784723568319
164;1.12901576340063
164.5;1.13017761232629
165;1.1313328206332
165.5;1.13248142627622
166;1.1336234669933
166.5;1.13475898030667
167;1.1358880035241
167.5;1.13701057374013
168;1.13812672783729
168.5;1.1392365024873
169;1.14033993415228
169.5;1.14143705908595
170;1.14252791333482
170.5;1.14361253273938
171;1.14469095293525
171.5;1.14576320935439
172;1.14682933722626
172.5;1.14788937157893
173;1.14894334724029
173.5;1.14999129883915
174;1.15103326080643
174.5;1.15206926737622
175;1.15309935258697
175.5;1.15412355028256
176;1.15514189411345
176.5;1.15615441753776
177;1.15716115382238
177.5;1.15816213604407
178;1.15915739709051
178.5;1.16014696966145
179;1.16113088626971
179.5;1.16210917924229
180;1.16308188072142
180.5;1.16404902266564
181;1.1650106368508
181.5;1.16596675487114
182;1.16691740814034
182.5;1.16786262789252
183;1.16880244518327
183.5;1.16973689089069
184;1.1706659957164
184.5;1.17158979018654
185;1.17250830465276
185.5;1.17342156929326
