field;area;variable;method;nmax;mdist;blk_l;blk_w;domain;expansion;resolution;epsg;date;n_orig;n_ras;RMSE_cv;min;max;mean;sd
GSS_all;45.95;Rho6_nrm;BK;60;100;20;20;field_domain;10;4x4;25832;20230116;9546;5165336;28.518;10;292.42;79.49;60.23
GSS_all;45.95;GWI_nrm;BK;60;100;20;20;field_domain;10;4x4;25832;20230116;9546;5165336;0.365;0.76;13.36;5.62;2.96
