model;psill;range;kappa;ang1;ang2;ang3;anis1;anis2;variable
Nug;0.099427240157243;0;0;0;0;0;1;1;Rho1_nrm
Ste;0.896772340582166;25.8847176303453;10;0;0;0;1;1;Rho1_nrm
Nug;0.0115920918604424;0;0;0;0;0;1;1;Gamma_nrm
Ste;44.3005834295044;15289.3638235569;0.4;0;0;0;1;1;Gamma_nrm
Nug;0;0;0;0;0;0;1;1;H_nrm
Ste;1.49293474694854;79.1166081583635;0.9;0;0;0;1;1;H_nrm
Nug;0.0893667401827929;0;0;0;0;0;1;1;SWI_nrm
Ste;0.905044728865489;27.3532529660803;5;0;0;0;1;1;SWI_nrm
