model;psill;range;kappa;ang1;ang2;ang3;anis1;anis2;variable
Nug;0.178490333010134;0;0;0;0;0;1;1;Rho1_nrm
Ste;0.899608884379517;24.8023953843884;2;0;0;0;1;1;Rho1_nrm
Nug;0.0418061135517345;0;0;0;0;0;1;1;Gamma_nrm
Ste;5.2840388929944;523.990893651749;0.6;0;0;0;1;1;Gamma_nrm
Nug;0.0425906856706146;0;0;0;0;0;1;1;H_nrm
Exp;103.955325209156;9020.27067459272;0;0;0;0;1;1;H_nrm
Nug;0.191116474029905;0;0;0;0;0;1;1;SWI_nrm
Ste;0.783272471468553;23.0923282476381;2;0;0;0;1;1;SWI_nrm
