dist;gamma
0;0
0.5;0.0342206764072515
1;0.046980173156912
1.5;0.0584307275179663
2;0.0690921764388569
2.5;0.0791924627407379
3;0.0888587801029044
3.5;0.0981717840751031
4;0.107186928406066
4.5;0.115944544293289
5;0.12447520722711
5.5;0.132802849674701
6;0.140946686592159
6.5;0.148922468246891
7;0.156743329226761
7.5;0.164420383427534
8;0.171963152929068
8.5;0.179379884638784
9;0.186677788956895
9.5;0.193863222937476
10;0.200941833098605
10.5;0.207918668346127
11;0.214798270392201
11.5;0.221584746973951
12;0.228281831750435
12.5;0.234892933756481
13;0.241421178579602
13.5;0.24786944291081
14;0.254240383741943
14.5;0.260536463200933
15;0.266759969804988
15.5;0.272913036750832
16;0.278997657737593
16.5;0.28501570072214
17;0.290968919931724
17.5;0.296858966399674
18;0.302687397242942
18.5;0.308455683862681
19;0.314165219218769
19.5;0.319817324304616
20;0.325413253928544
20.5;0.330954201891626
21;0.336441305638266
21.5;0.341875650444609
22;0.347258273200474
22.5;0.352590165832706
23;0.357872278411224
23.5;0.363105521973529
24;0.3682907710987
24.5;0.373428866257924
25;0.378520615965192
25.5;0.383566798748864
26;0.38856816496229
26.5;0.393525438449536
27;0.398439318080364
27.5;0.403310479166999
28;0.408139574773828
28.5;0.412927236929929
29;0.417674077753233
29.5;0.422380690494245
30;0.427047650506345
30.5;0.431675516149027
31;0.436264829629752
31.5;0.440816117789542
32;0.445329892836935
32.5;0.449806653034483
33;0.454246883341545
33.5;0.458651056016836
34;0.463019631183803
34.5;0.467353057361677
35;0.471651771964762
35.5;0.475916201772308
36;0.480146763371114
36.5;0.484343863572811
37;0.488507899807618
37.5;0.492639260496216
38;0.496738325401248
38.5;0.500805465959821
39;0.504841045598292
39.5;0.508845420030505
40;0.512818937540564
40.5;0.516761939251134
41;0.520674759378197
41.5;0.524557725473108
42;0.528411158652749
42.5;0.532235373818502
43;0.536030679864722
43.5;0.539797379877346
44;0.543535771323205
44.5;0.547246146230605
45;0.55092879136166
45.5;0.554583988376865
46;0.558212013992343
46.5;0.561813140130168
47;0.565387634062156
47.5;0.56893575854748
48;0.572457771964435
48.5;0.575953928436682
49;0.579424477954242
49.5;0.582869666489533
50;0.586289736108698
50.5;0.589684925078469
51;0.593055467968791
51.5;0.59640159575142
52;0.599723535894694
52.5;0.603021512454675
53;0.606295746162818
53.5;0.609546454510361
54;0.612773851829569
54.5;0.615978149371996
55;0.619159555383903
55.5;0.622318275178955
56;0.625454511208329
56.5;0.628568463128361
57;0.631660327865815
57.5;0.634730299680915
58;0.637778570228208
58.5;0.640805328615381
59;0.643810761460094
59.5;0.646795052944938
60;0.649758384870581
60.5;0.652700936707193
61;0.655622885644212
61.5;0.658524406638517
62;0.66140567246109
62.5;0.664266853742217
63;0.66710811901528
63.5;0.669929634759219
64;0.672731565439693
64.5;0.675514073549006
65;0.678277319644848
65.5;0.68102146238788
66;0.683746658578234
66.5;0.686453063190938
67;0.689140829410339
67.5;0.691810108663541
68;0.69446105065289
68.5;0.697093803387572
69;0.699708513214315
69.5;0.702305324847262
70;0.704884381397028
70.5;0.70744582439897
71;0.709989793840709
71.5;0.712516428188915
72;0.715025864415398
72.5;0.717518238022511
73;0.719993683067906
73.5;0.72245233218865
74;0.724894316624739
74.5;0.727319766242009
75;0.729728809554486
75.5;0.732121573746183
76;0.734498184692355
76.5;0.73685876698025
77;0.73920344392935
77.5;0.741532337611134
78;0.743845568868374
78.5;0.746143257333972
79;0.748425521449364
79.5;0.750692478482498
80;0.752944244545397
80.5;0.755180934611328
81;0.757402662531577
81.5;0.759609541051856
82;0.761801681828345
82.5;0.763979195443375
83;0.766142191420776
83.5;0.768290778240889
84;0.770425063355259
84.5;0.772545153201007
85;0.77465115321491
85.5;0.776743167847173
86;0.778821300574925
86.5;0.780885653915431
87;0.78293632943903
87.5;0.784973427781819
88;0.786997048658074
88.5;0.789007290872422
89;0.791004252331776
89.5;0.792988030057028
90;0.794958720194519
90.5;0.796916418027285
91;0.79886121798608
91.5;0.800793213660197
92;0.802712497808075
92.5;0.804619162367712
93;0.806513298466881
93.5;0.808394996433153
94;0.81026434580374
94.5;0.812121435335152
95;0.813966353012684
95.5;0.815799186059727
96;0.817620020946915
96.5;0.819428943401108
97;0.821226038414211
97.5;0.823011390251849
98;0.824785082461881
98.5;0.826547197882771
99;0.828297818651811
99.5;0.830037026213211
100;0.831764901326042
100.5;0.833481524072053
101;0.835186973863353
101.5;0.836881329449964
102;0.838564668927256
102.5;0.840237069743249
103;0.84189860870581
103.5;0.843549361989718
104;0.845189405143625
104.5;0.846818813096907
105;0.848437660166398
105.5;0.850046020063025
106;0.851643965898333
106.5;0.853231570190917
107;0.854808904872742
107.5;0.856376041295379
108;0.857933050236132
108.5;0.859480001904087
109;0.861016965946055
109.5;0.862544011452436
