model;psill;range;kappa;ang1;ang2;ang3;anis1;anis2;variable
Nug;0;0;0;0;0;0;1;1;Rho1_nrm
Ste;1.21836269764013;96.9034203015076;0.5;0;0;0;1;1;Rho1_nrm
Nug;0;0;0;0;0;0;1;1;Gamma_nrm
Sph;1.22477066690156;180.326293085114;0;0;0;0;1;1;Gamma_nrm
Nug;0;0;0;0;0;0;1;1;H_nrm
Sph;1.26446878373627;210.606228116926;0;0;0;0;1;1;H_nrm
Nug;0;0;0;0;0;0;1;1;SWI_nrm
Exp;1.33229394848732;87.2302332843446;0;0;0;0;1;1;SWI_nrm
