model;psill;range;kappa;ang1;ang2;ang3;anis1;anis2;variable
Nug;0.0213372099606504;0;0;0;0;0;1;1;Rho1_nrm
Ste;1.04107963523193;98.1843325346848;0.4;0;0;0;1;1;Rho1_nrm
Nug;0.0670490970347946;0;0;0;0;0;1;1;Gamma_nrm
Exp;1.03739927013026;66.0650831178038;0;0;0;0;1;1;Gamma_nrm
Nug;0;0;0;0;0;0;1;1;H_nrm
Ste;1.41991256156399;153.66759514928;0.5;0;0;0;1;1;H_nrm
Nug;0.0169564040055711;0;0;0;0;0;1;1;SWI_nrm
Ste;1.0889002607263;107.258031040834;0.4;0;0;0;1;1;SWI_nrm
