dist;gamma
0;0
0.5;0.066471296180116
1;0.0693196553672103
1.5;0.0731971859031149
2;0.0778812826060371
2.5;0.0832288268847536
3;0.0891361700158294
3.5;0.0955232054698508
4;0.102325410367898
4.5;0.109489306907098
5;0.116969635080332
5.5;0.124727475453877
6;0.132728940905048
6.5;0.140944229445584
7;0.149346916992498
7.5;0.157913415671161
8;0.166622549922695
8.5;0.175455218682478
9;0.184394121877178
9.5;0.193423535932935
10;0.202529127274303
10.5;0.211697795719562
11;0.220917541720789
11.5;0.230177352852304
12;0.239467106006521
12.5;0.248777482534131
13;0.258099894147391
13.5;0.267426417846255
14;0.276749738465352
14.5;0.28606309770226
15;0.29536024869316
15.5;0.304635415364623
16;0.31388325592016
16.5;0.323098829924574
17;0.332277568533872
17.5;0.341415247487604
18;0.350507962537314
18.5;0.359552107031767
19;0.368544351418702
19.5;0.377481624455536
20;0.386361095948906
20.5;0.395180160866163
21;0.403936424681634
21.5;0.412627689837241
22;0.421251943211453
22.5;0.429807344502923
23;0.438292215445766
23.5;0.446705029782726
24;0.455044403930455
24.5;0.463309088278126
25;0.471497959066719
25.5;0.479610010801667
26;0.487644349156282
26.5;0.495600184327508
27;0.503476824809249
27.5;0.511273671551776
28;0.518990212478603
28.5;0.526626017334806
29;0.534180732843075
29.5;0.54165407814584
30;0.549045840513652
30.5;0.55635587130168
31;0.563584082137684
31.5;0.570730441326133
32;0.577794970454415
32.5;0.584777741188136
33;0.591678872243548
33.5;0.598498526526024
34;0.605236908424334
34.5;0.611894261251256
35;0.618470864821692
35.5;0.624967033160131
36;0.631383112329872
36.5;0.637719478376905
37;0.643976535381905
37.5;0.650154713614159
38;0.656254467781721
38.5;0.662276275372424
39;0.668220635080746
39.5;0.674088065315837
40;0.679879102786328
40.5;0.685594301157786
41;0.691234229778976
41.5;0.696799472473279
42;0.702290626391878
42.5;0.707708300925492
43;0.713053116671652
43.5;0.718325704454679
44;0.723526704395678
44.5;0.72865676503004
45;0.733716542470054
45.5;0.738706699610405
46;0.743627905374409
46.5;0.748480833999004
47;0.753266164356578
47.5;0.757984579311861
48;0.762636765112165
48.5;0.767223410809372
49;0.771745207712144
49.5;0.776202848866911
50;0.780597028566266
50.5;0.784928441883469
51;0.789197784231816
51.5;0.793405750947727
52;0.797553036896403
52.5;0.801640336099032
53;0.805668341380506
53.5;0.809637744036724
54;0.813549233520542
54.5;0.817403497145526
55;0.821201219806675
55.5;0.824943083717332
56;0.828629768161533
56.5;0.832261949261085
57;0.835840299756697
57.5;0.839365488802511
58;0.842838181773419
58.5;0.846259040084578
59;0.84962872102257
59.5;0.852947877587653
60;0.856217158346609
60.5;0.859437207295694
61;0.862608663733224
61.5;0.86573216214136
62;0.868808332076648
62.5;0.871837798068932
63;0.874821179528237
63.5;0.877759090659251
64;0.880652140383066
64.5;0.883500932265814
65;0.886306064453903
65.5;0.889068129615522
66;0.891787714888125
66.5;0.89446540183162
67;0.897101766386971
67.5;0.89969737883998
68;0.902252803789974
68.5;0.904768600123187
69;0.907245320990582
69.5;0.909683513789918
70;0.912083720151846
70.5;0.914446475929824
71;0.916772311193683
71.5;0.919061750226642
72;0.9213153115256
72.5;0.923533507804555
73;0.925716846000959
73.5;0.927865827284892
74;0.929980947070872
74.5;0.932062695032188
75;0.934111555117612
75.5;0.936128005570356
76;0.938112518949153
76.5;0.940065562151354
77;0.941987596437912
77.5;0.943879077460158
78;0.945740455288257
78.5;0.947572174441245
79;0.949374673918565
79.5;0.951148387232986
80;0.952893742444846
80.5;0.954611162197516
81;0.956301063754012
81.5;0.957963859034679
82;0.959599954655878
82.5;0.961209751969592
83;0.962793647103907
83.5;0.964352031004282
84;0.965885289475556
84.5;0.967393803224641
85;0.968877947903834
85.5;0.970338094154694
86;0.97177460765245
86.5;0.973187849150864
87;0.974578174527531
87.5;0.975945934829553
88;0.977291476319544
88.5;0.978615140521943
89;0.979917264269577
89.5;0.981198179750443
90;0.982458214554687
90.5;0.983697691721721
91;0.984916929787469
91.5;0.986116242831705
92;0.987295940525442
92.5;0.988456328178364
93;0.989597706786264
93.5;0.990720373078455
94;0.991824619565154
94.5;0.992910734584788
95;0.993979002351225
95.5;0.995029703000894
96;0.99606311263978
96.5;0.997079503390276
97;0.998079143437876
97.5;0.99906229707769
98;1.00002922476076
98.5;1.00098018314019
99;1.00191542511703
99.5;1.00283519988591
100;1.0037397529805
100.5;1.00462932631865
101;1.00550415824724
101.5;1.00636448358684
102;1.00721053367598
102.5;1.00804253641521
103;1.00886071631077
103.5;1.00966529451804
104;1.01045648888458
104.5;1.01123451399289
105;1.01199958120281
105.5;1.01275189869364
106;1.01349167150582
106.5;1.01421910158232
107;1.01493438780968
107.5;1.01563772605866
108;1.01632930922453
108.5;1.01700932726702
109;1.01767796724989
109.5;1.01833541338008
110;1.01898184704658
110.5;1.01961744685883
111;1.02024238868479
111.5;1.02085684568864
112;1.02146098836804
112.5;1.02205498459109
113;1.02263899963282
113.5;1.02321319621138
114;1.02377773452375
114.5;1.0243327722812
115;1.02487846474419
115.5;1.02541496475707
116;1.02594242278225
116.5;1.02646098693407
117;1.02697080301224
117.5;1.02747201453496
118;1.0279647627716
118.5;1.028449186775
119;1.02892542341346
119.5;1.02939360740228
120;1.02985387133496
120.5;1.03030634571402
121;1.03075115898146
121.5;1.03118843754883
122;1.03161830582696
122.5;1.03204088625528
123;1.03245629933085
123.5;1.03286466363695
124;1.03326609587137
124.5;1.03366071087429
125;1.03404862165591
