model;psill;range;kappa;ang1;ang2;ang3;anis1;anis2;variable
Nug;0;0;0;0;0;0;1;1;Rho1_nrm
Ste;2.39028161332498;192.183458574066;0.7;0;0;0;1;1;Rho1_nrm
Nug;0.00682131819178911;0;0;0;0;0;1;1;Gamma_nrm
Exp;2.95160113060697;231.326012478422;0;0;0;0;1;1;Gamma_nrm
Nug;0;0;0;0;0;0;1;1;H_nrm
Ste;1.2859672559836;102.53637219281;1;0;0;0;1;1;H_nrm
Nug;0;0;0;0;0;0;1;1;SWI_nrm
Ste;3.45780904221739;309.052018348555;0.6;0;0;0;1;1;SWI_nrm
