model;psill;range;kappa;ang1;ang2;ang3;anis1;anis2;variable
Nug;0.063057296356026;0;0;0;0;0;1;1;Rho1_nrm
Ste;1.48859649028086;68.7102286001348;1;0;0;0;1;1;Rho1_nrm
Nug;0.14294811527792;0;0;0;0;0;1;1;Gamma_nrm
Ste;0.747654848439856;12.7475857062133;10;0;0;0;1;1;Gamma_nrm
Nug;0.135251190841843;0;0;0;0;0;1;1;H_nrm
Ste;15.8250433087807;1088.20740412734;0.7;0;0;0;1;1;H_nrm
Nug;0.0606280555399725;0;0;0;0;0;1;1;SWI_nrm
Ste;1.31700262095165;66.5456678115847;0.8;0;0;0;1;1;SWI_nrm
