field;area;variable;method;nmax;mdist;blk_l;blk_w;domain;expansion;resolution;epsg;date;n_orig;n_ras;RMSE_cv;min;max;mean;median;sd
GSS_01;12.83;Rho1_nrm;BK;60;100;40;20;field_domain;10;2x2;25832;20220429;2592;89337;0.855;16.88;43.16;25.3;25.31;5.56
GSS_01;12.83;Gamma_nrm;BK;60;100;40;20;field_domain;10;2x2;25832;20220429;2592;89337;0.011;1.44;2.03;1.85;1.87;0.12
GSS_01;12.83;H_nrm;BK;60;100;40;20;field_domain;10;2x2;25832;20220429;2592;89337;0.102;88.72;90.45;89.5;89.44;0.39
GSS_01;12.83;SWI_nrm;BK;60;100;40;20;field_domain;10;2x2;25832;20220429;2592;89337;0.221;3.77;11.76;7.77;7.34;2.07
