dist;gamma
0;0
0.5;0.00885806625418197
1;0.0176517302265841
1.5;0.0263814601518958
2;0.03504772086052
2.5;0.0436509738033281
3;0.0521916770762251
3.5;0.0606702854445465
4;0.0690872503672706
4.5;0.0774430200210577
5;0.0857380393241148
5.5;0.0939727499598857
6;0.102147590400569
6.5;0.110262995930464
7;0.118319398669152
7.5;0.126317227594503
8;0.134256908565514
8.5;0.142138864344992
9;0.149963514622059
9.5;0.157731276034502
10;0.165442562190953
10.5;0.173097783692922
11;0.180697348156649
11.5;0.188241660234815
12;0.195731121638088
12.5;0.20316613115651
13;0.210547084680734
13.5;0.217874375223103
14;0.225148392938575
14.5;0.232369525145503
15;0.239538156346249
15.5;0.246654668247668
16;0.253719439781425
16.5;0.260732847124175
17;0.267695263717594
17.5;0.274607060288263
18;0.281468604867403
18.5;0.288280262810484
19;0.295042396816662
19.5;0.301755366948108
20;0.308419530649168
20.5;0.315035242765403
21;0.321602855562479
21.5;0.328122718744928
22;0.334595179474766
22.5;0.341020582389979
23;0.347399269622872
23.5;0.35373158081829
24;0.360017853151701
24.5;0.36625842134715
25;0.37245361769508
25.5;0.37860377207003
26;0.384709211948195
26.5;0.390770262424866
27;0.396787246231737
27.5;0.402760483754095
28;0.408690293047874
28.5;0.414576989856593
29;0.42042088762817
29.5;0.426222297531607
30;0.431981528473564
30.5;0.437698887114805
31;0.443374677886527
31.5;0.449009203006568
32;0.454602762495504
32.5;0.46015565419262
33;0.465668173771768
33.5;0.471140614757117
34;0.476573268538775
34.5;0.481966424388309
35;0.487320369474145
35.5;0.492635388876864
36;0.497911765604374
36.5;0.503149780606984
37;0.508349712792365
37.5;0.513511839040397
38;0.518636434217914
38.5;0.523723771193341
39;0.52877412085122
39.5;0.533787752106637
40;0.538764931919541
40.5;0.543705925308954
41;0.548610995367088
41.5;0.553480403273351
42;0.558314408308257
42.5;0.563113267867226
43;0.567877237474294
43.5;0.57260657079572
44;0.577301519653487
44.5;0.581962334038717
45;0.586589262124981
45.5;0.591182550281508
46;0.595742443086312
46.5;0.600269183339207
47;0.604763012074741
47.5;0.609224168575027
48;0.613652890382486
