dist;gamma
0;0
0.5;0.00263036643007649
1;0.00818583556417959
1.5;0.0156690500437848
2;0.02462716997918
2.5;0.0347702330198333
3;0.045889268867039
3.5;0.05782367834747
4;0.0704449169149824
4.5;0.0836471787628266
5;0.0973415860164853
5.5;0.111452325185389
6;0.125913950681708
6.5;0.140669429656714
7;0.155668679929263
7.5;0.170867448439308
8;0.186226432315865
8.5;0.201710577418788
9;0.217288509670125
9.5;0.232932067706711
10;0.24861591418033
10.5;0.264317209037255
11;0.280015332304131
11.5;0.295691646897176
12;0.311329294141719
12.5;0.326913016289413
13;0.342429001518352
13.5;0.35786474780977
14;0.373208942792433
14.5;0.388451357187361
15;0.403582749910113
15.5;0.418594783224197
16;0.433479946607704
16.5;0.448231488211588
17;0.46284335296352
17.5;0.477310126514684
18;0.491626984344878
18.5;0.505789645438963
19;0.519794330029059
19.5;0.533637720964977
20;0.547316928332712
20.5;0.560829456989301
21;0.574173176723571
21.5;0.58734629478744
22;0.600347330572632
22.5;0.613175092233559
23;0.625828655079575
23.5;0.638307341579218
24;0.65061070283598
24.5;0.662738501409878
25;0.674690695372057
25.5;0.686467423490965
26;0.698068991458686
26.5;0.709495859074794
27;0.720748628312963
27.5;0.731828032202484
28;0.742734924463017
28.5;0.753470269836456
29;0.764035135064675
29.5;0.77443068046636
30;0.784658152070128
30.5;0.794718874264645
31;0.80461424292974
31.5;0.81434571901538
32;0.823914822538018
32.5;0.833323126966212
33;0.842572253969581
33.5;0.851663868507127
34;0.860599674232767
34.5;0.869381409197531
35;0.878010841829403
35.5;0.886489767173136
36;0.89482000337364
36.5;0.903003388387676
37;0.911041776909671
37.5;0.918937037498412
38;0.926691049892308
38.5;0.9343057025017
39;0.941782890067483
39.5;0.949124511476021
40;0.95633246772093
40.5;0.963408660002997
41;0.97035498795997
41.5;0.977173348018543
42;0.9838656318613
42.5;0.990433725001857
43;0.996879505461823
43.5;1.00320484254363
44;1.00941159569364
44.5;1.01550161345016
45;1.02147673247158
45.5;1.02733877663981
46;1.03308955623469
46.5;1.03873086717523
47;1.04426449032385
47.5;1.04969219084982
48;1.05501571764854
48.5;1.06023680281344
49;1.06535716115721
49.5;1.07037848977981
50;1.0753024676801
50.5;1.08013075540892
51;1.08486499476087
51.5;1.08950680850259
52;1.09405780013545
52.5;1.09851955369046
53;1.10289363355348
53.5;1.10718158431899
54;1.11138493067053
54.5;1.11550517728635
55;1.11954380876851
55.5;1.12350228959411
56;1.12738206408725
56.5;1.13118455641032
57;1.13491117057347
57.5;1.13856329046097
58;1.14214227987354
58.5;1.14564948258537
59;1.14908622241497
59.5;1.15245380330893
60;1.15575350943756
60.5;1.15898660530175
61;1.16215433585006
61.5;1.16525792660547
62;1.16829858380092
62.5;1.17127749452307
63;1.17419582686361
63.5;1.17705473007747
64;1.17985533474743
64.5;1.18259875295459
65;1.18528607845406
65.5;1.18791838685563
66;1.19049673580868
66.5;1.19302216519117
67;1.19549569730205
67.5;1.19791833705697
68;1.20029107218668
68.5;1.20261487343794
69;1.20489069477659
69.5;1.20711947359238
70;1.20930213090545
70.5;1.211439571574
71;1.21353268450305
71.5;1.21558234285395
72;1.21758940425447
72.5;1.21955471100926
73;1.22147909031042
73.5;1.22336335444809
74;1.2252083010208
74.5;1.22701471314545
75;1.22878335966682
75.5;1.23051499536636
76;1.23221036117017
76.5;1.23387018435614
77;1.23549517875995
77.5;1.23708604498003
78;1.23864347058114
78.5;1.24016813029672
79;1.24166068622977
79.5;1.24312178805224
80;1.24455207320275
80.5;1.24595216708279
81;1.24732268325113
81.5;1.24866422361644
82;1.24997737862815
82.5;1.25126272746536
83;1.25252083822391
83.5;1.25375226810142
84;1.25495756358043
