dist;gamma
0;0
0.5;0.0210991866270291
1;0.0217157378006068
1.5;0.0227424517721104
2;0.0241780244673163
2.5;0.0260206359614016
3;0.0282679561988726
3.5;0.0309171522657505
4;0.0339648971562692
4.5;0.0374073799669204
5;0.0412403174425727
5.5;0.0454589667927023
6;0.0500581396903527
6.5;0.0550322173622126
7;0.0603751666751835
7.5;0.0660805571227757
8;0.0721415786136744
8.5;0.0785510599646266
9;0.0853014880004757
9.5;0.0923850271654565
10;0.0997935395518619
10.5;0.107518605254625
11;0.115551542963358
11.5;0.123883430706681
12;0.132505126667352
12.5;0.141407289990631
13;0.150580401512427
13.5;0.160014784338058
14;0.169700624206853
14.5;0.179627989582263
15;0.189786851411643
15.5;0.200167102504334
16;0.210758576481107
16.5;0.221551066252427
17;0.232534341987275
17.5;0.243698168538426
18;0.255032322294203
18.5;0.266526607430593
19;0.278170871541434
19.5;0.289955020627977
20;0.301869033432591
20.5;0.313902975104688
21;0.32604701019001
21.5;0.338291414937405
22;0.350626588919953
22.5;0.36304306596987
23;0.375531524429075
23.5;0.388082796719478
24;0.400687878239138
24.5;0.413337935592343
25;0.426024314163383
25.5;0.438738545045357
26;0.451472351336794
26.5;0.464217653820133
27;0.476966576037253
27.5;0.489711448778227
28;0.502444814000377
28.5;0.51515942819541
29;0.527848265223123
29.5;0.540504518630597
30;0.553121603476318
30.5;0.565693157678914
31;0.578213042910477
31.5;0.590675345054573
32;0.603074374249114
32.5;0.61540466453428
33;0.627660973125587
33.5;0.639838279332101
34;0.651931783139568
34.5;0.663936903478044
35;0.675849276193284
35.5;0.687664751740834
36;0.699379392621423
36.5;0.710989470575822
37;0.722491463556945
37.5;0.733882052496485
38;0.745158117882913
38.5;0.756316736167181
39;0.767355176011948
39.5;0.778270894399625
40;0.789061532614007
40.5;0.799724912109718
41;0.810259030283145
41.5;0.820662056157978
42;0.830932325997949
42.5;0.841068338858781
43;0.85106875209083
43.5;0.860932376803353
44;0.870658173300801
44.5;0.880245246500993
45;0.88969284134452
45.5;0.899000338204201
46;0.908167248302909
46.5;0.91719320914761
47;0.926077979986934
47.5;0.934821437299182
48;0.943423570317164
48.5;0.951884476595853
49;0.960204357628394
49.5;0.968383514515588
50;0.976422343693575
50.5;0.984321332724048
51;0.992081056150951
51.5;0.999702171427257
52;1.00718541491508
52.5;1.014531597962
53;1.02174160305631
53.5;1.02881638006328
54;1.03575694254465
54.5;1.04256436416294
55;1.04923977517214
55.5;1.05578435899585
56;1.06219934889399
56.5;1.06848602471879
57;1.07464570976053
57.5;1.08067976768349
58;1.08658959955208
58.5;1.09237664094739
59;1.0980423591737
59.5;1.10358825055474
60;1.10901583781924
60.5;1.11432666757502
61;1.11952230787103
61.5;1.12460434584628
62;1.12957438546492
62.5;1.13443404533617
63;1.1391849566181
63.5;1.143828761004
64;1.14836710878989
64.5;1.15280165702201
65;1.15713406772268
65.5;1.16136600619304
66;1.16549913939128
66.5;1.16953513438459
67;1.17347565687332
67.5;1.17732236978573
68;1.1810769319415
68.5;1.18474099678253
69;1.18831621116915
69.5;1.19180421424008
70;1.1952066363344
70.5;1.19852509797387
71;1.20176120890375
71.5;1.20491656719049
72;1.20799275837448
72.5;1.2109913546763
73;1.21391391425456
73.5;1.21676198051383
74;1.21953708146088
74.5;1.22224072910761
75;1.22487441891908
75.5;1.2274396293049
76;1.22993782115261
76.5;1.23237043740124
77;1.23473890265373
77.5;1.23704462282655
78;1.23928898483511
78.5;1.24147335631355
79;1.24359908536733
79.5;1.24566750035747
80;1.24767990971486
80.5;1.24963760178341
81;1.25154184469077
81.5;1.25339388624532
82;1.25519495385813
82.5;1.25694625448889
83;1.25864897461442
83.5;1.26030428021876
84;1.26191331680371
