model;psill;range;kappa;ang1;ang2;ang3;anis1;anis2;variable
Nug;0;0;0;0;0;0;1;1;Rho1_nrm
Ste;0.956050181729056;49.8053331048118;0.5;0;0;0;1;1;Rho1_nrm
Nug;0;0;0;0;0;0;1;1;Gamma_nrm
Sph;1.42108232095489;218.299378091341;0;0;0;0;1;1;Gamma_nrm
Nug;0;0;0;0;0;0;1;1;H_nrm
Exp;0.902885253220025;91.4932529297039;0;0;0;0;1;1;H_nrm
Nug;0.0016203931601716;0;0;0;0;0;1;1;GWI_nrm
Ste;0.984208820274262;61.3656896698128;0.5;0;0;0;1;1;GWI_nrm
