model;psill;range;kappa;ang1;ang2;ang3;anis1;anis2;variable
Nug;0.000718520695309067;0;0;0;0;0;1;1;Rho1_nrm
Ste;0.887280966918622;27.065982448722;5;0;0;0;1;1;Rho1_nrm
Nug;0.0651408396655762;0;0;0;0;0;1;1;Gamma_nrm
Ste;0.99097815685037;50.3875851774462;0.9;0;0;0;1;1;Gamma_nrm
Nug;0.00647730755495793;0;0;0;0;0;1;1;H_nrm
Ste;0.904591952626232;45.8644986155531;1.1;0;0;0;1;1;H_nrm
Nug;0.000667580568604355;0;0;0;0;0;1;1;SWI_nrm
Ste;0.880178544702477;27.4719958530466;5;0;0;0;1;1;SWI_nrm
