dist;gamma
0;0
0.5;0.00281331498488531
1;0.00644020521266847
1.5;0.010442535505353
2;0.01470342274959
2.5;0.0191627829475042
3;0.0237832519195283
3.5;0.0285390858982212
4;0.0334113529979397
4.5;0.0383854845552891
5;0.0434498876856145
5.5;0.0485950965872587
6;0.0538132224653569
6.5;0.0590975804396876
7;0.0644424270469008
7.5;0.0698427698853127
8;0.0752942260262419
8.5;0.0807929143959999
9;0.0863353724377812
9.5;0.0919184905176305
10;0.0975394595527676
10.5;0.10319572866327
11;0.108884970538933
11.5;0.114605052826154
12;0.120354014270278
12.5;0.126130044656426
13;0.131931467815272
13.5;0.137756727124805
14;0.143604373062065
14.5;0.149473052451657
15;0.155361499128926
15.5;0.161268525790393
16;0.16719301684687
16.5;0.173133922128226
17;0.179090251315446
17.5;0.185061068996946
18;0.191045490263185
18.5;0.197042676767623
19;0.203051833193257
19.5;0.20907220407341
20;0.215103070922984
20.5;0.221143749642871
21;0.227193588165406
21.5;0.233251964313274
22;0.239318283847962
22.5;0.245391978687054
23;0.251472505272283
23.5;0.257559343072607
24;0.263651993208462
24.5;0.26974997718508
25;0.275852835724131
25.5;0.281960127684264
26;0.288071429062144
26.5;0.294186332066556
27;0.300304444258941
27.5;0.306425387754442
28;0.312548798478193
28.5;0.318674325472088
29;0.324801630247777
29.5;0.330930386182081
30;0.337060277951325
30.5;0.343191001001531
31;0.349322261051584
31.5;0.355453773626874
32;0.361585263621044
32.5;0.367716464883766
33;0.37384711983259
33.5;0.379976979087158
34;0.386105801124132
34.5;0.392233351951404
35;0.398359404800234
35.5;0.404483739834098
36;0.410606143873089
36.5;0.416726410132873
37;0.422844337977194
37.5;0.42895973268311
38;0.43507240521808
38.5;0.441182172028204
39;0.447288854836891
39.5;0.453392280453331
40;0.459492280590163
40.5;0.465588691689791
41;0.471681354758844
41.5;0.477770115210288
42;0.483854822712761
42.5;0.489935331046713
43;0.496011497966961
43.5;0.502083185071318
44;0.508150257674942
44.5;0.514212584690103
45;0.520270038511074
45.5;0.52632249490388
46;0.53236983290063
46.5;0.538411934698219
47;0.544448685561149
47.5;0.550479973728282
48;0.556505690323302
48.5;0.562525729268732
49;0.56853998720329
49.5;0.574548363402473
50;0.580550759702145
50.5;0.586547080425057
51;0.592537232310109
51.5;0.598521124444246
52;0.604498668196851
52.5;0.610469777156551
53;0.616434367070285
53.5;0.62239235578456
54;0.628343663188795
54.5;0.634288211160638
55;0.640225923513205
55.5;0.646156725944118
56;0.652080545986298
56.5;0.657997312960421
57;0.663906957928966
57.5;0.669809413651793
58;0.675704614543188
58.5;0.681592496630308
59;0.68747299751298
59.5;0.693346056324782
60;0.699211613695374
60.5;0.705069611714016
61;0.710919993894224
61.5;0.716762705139537
62;0.722597691710326
62.5;0.72842490119163
63;0.734244282461962
63.5;0.740055785663051
64;0.745859362170503
64.5;0.751654964565306
65;0.757442546606203
65.5;0.763222063202848
66;0.768993470389751
66.5;0.774756725300966
67;0.780511786145515
67.5;0.786258612183483
68;0.791997163702816
68.5;0.79772740199674
69;0.80344928934182
69.5;0.80916278897662
70;0.814867865080952
70.5;0.820564482755667
71;0.826252608003021
71.5;0.83193220770754
72;0.837603249617407
72.5;0.843265702326343
73;0.848919535255945
73.5;0.854564718638507
74;0.860201223500268
74.5;0.865829021645096
75;0.871448085638596
75.5;0.877058388792604
76;0.882659905150091
76.5;0.888252609470425
77;0.893836477215022
77.5;0.899411484533327
78;0.904977608249162
78.5;0.91053482584739
79;0.916083115460911
79.5;0.921622455857974
80;0.927152826429783
80.5;0.932674207178404
81;0.938186578704966
81.5;0.943689922198121
82;0.949184219422791
82.5;0.95466945270917
83;0.960145604941978
83.5;0.965612659549967
84;0.971070600495662
84.5;0.976519412265337
85;0.981959079859223
85.5;0.987389588781925
86;0.992810925033058
86.5;0.998223075098096
87;1.00362602593942
87.5;1.00901976498755
88;1.0144042801326
88.5;1.01977955971588
89;1.02514559252171
89.5;1.03050236776939
90;1.03584987510536
90.5;1.0411881045955
91;1.04651704671764
91.5;1.05183669235416
92;1.05714703278481
92.5;1.06244805967965
93;1.0677397650921
93.5;1.07302214145225
94;1.07829518156014
94.5;1.08355887857934
95;1.08881322603054
95.5;1.09405821778533
96;1.0992938480601
96.5;1.10452011141005
97;1.10973700272331
97.5;1.11494451721522
98;1.12014265042265
98.5;1.12533139819851
99;1.13051075670631
99.5;1.13568072241487
100;1.14084129209309
100.5;1.14599246280484
101;1.15113423190397
101.5;1.15626659702938
102;1.16138955610018
102.5;1.166503107311
103;1.17160724912732
103.5;1.17670198028092
104;1.18178729976542
104.5;1.18686320683189
105;1.19192970098453
105.5;1.19698678197647
106;1.20203444980562
106.5;1.20707270471056
107;1.21210154716662
107.5;1.21712097788185
108;1.22213099779327
108.5;1.22713160806301
109;1.23212281007465
109.5;1.2371046054295
110;1.2420769959431
110.5;1.24703998364163
111;1.25199357075848
111.5;1.25693775973084
112;1.26187255319637
112.5;1.26679795398991
113;1.27171396514027
113.5;1.27662058986703
114;1.28151783157748
114.5;1.28640569386349
115;1.29128418049855
115.5;1.29615329543482
116;1.30101304280018
116.5;1.3058634268954
117;1.31070445219133
117.5;1.31553612332614
118;1.32035844510259
118.5;1.32517142248538
119;1.32997506059849
