dist;gamma
0;0
0.5;0.00826063933723864
1;0.0208508918051944
1.5;0.0354388592833214
2;0.0512752509073545
2.5;0.0679508990937823
3;0.0852031548045362
3.5;0.102848316497915
4;0.120750874875538
4.5;0.138807220030195
5;0.156936096176063
5.5;0.175072590118101
6;0.193164132360434
6.5;0.211167720385801
7;0.229047922710428
7.5;0.246775402724704
8;0.264325800615245
8.5;0.281678869196861
9;0.298817794292179
9.5;0.315728652144762
10;0.332399970505135
10.5;0.348822369454329
11;0.364988264459776
11.5;0.380891618640937
12;0.396527734407095
12.5;0.411893076932536
13;0.426985123625283
13.5;0.441802235004934
14;0.456343543355469
14.5;0.470608856244364
15;0.484598572559388
15.5;0.498313609151107
16;0.511755336512761
16.5;0.524925522201978
17;0.537826280927124
17.5;0.550460030397117
18;0.562829452176485
18.5;0.574937456904321
19;0.586787153331879
19.5;0.59838182071309
20;0.609724884148429
20.5;0.620819892537882
21;0.631670498845262
21.5;0.642280442415364
22;0.652653533118748
22.5;0.662793637127291
23;0.672704664147872
23.5;0.682390555962385
24;0.691855276140155
24.5;0.701102800804377
25;0.710137110347567
25.5;0.718962182002746
26;0.727581983187261
26.5;0.736000465545047
27;0.744221559620993
27.5;0.752249170107938
28;0.760087171612907
28.5;0.767739404894555
29;0.775209673528564
29.5;0.782501740961942
30;0.78961932792093
30.5;0.796566110140611
31;0.803345716387256
31.5;0.809961726747171
32;0.816417671158192
32.5;0.822717028162115
33;0.828863223858353
33.5;0.834859631040774
34;0.840709568501345
34.5;0.846416300485567
35;0.851983036286013
35.5;0.857412929961449
36;0.862709080170067
36.5;0.867874530106349
37;0.872912267531937
37.5;0.877825224891687
38;0.882616279506846
38.5;0.887288253837901
39;0.891843915810321
39.5;0.896285979196906
40;0.900617104051026
40.5;0.904839897185451
41;0.908956912691931
41.5;0.912970652497067
42;0.916883566950367
42.5;0.920698055440731
43;0.924416467037889
43.5;0.928041101155625
44;0.93157420823384
44.5;0.935017990436798
45;0.938374602365046
45.5;0.941646151778781
46;0.944834700330554
46.5;0.947942264305416
47;0.950970815366761
47.5;0.953922281306239
48;0.956798546796302
48.5;0.959601454144013
49;0.962332804044912
49.5;0.964994356335796
50;0.967587830745421
50.5;0.970114907642161
51;0.972577228777811
51.5;0.974976398026749
52;0.977313982119765
52.5;0.979591511371933
53;0.981810480403962
53.5;0.983972348856512
54;0.986078542097027
54.5;0.988130451918679
55;0.990129437231055
55.5;0.992076824742281
56;0.993973909632299
56.5;0.995821956217049
57;0.997622198603356
57.5;0.999375841334335
58;1.00108406002517
58.5;1.00274800198912
59;1.00436878685374
59.5;1.00594750716703
60;1.00748522899376
60.5;1.00898299250165
61;1.01044181253754
61.5;1.0118626791935
62;1.0132465583629
62.5;1.01459439228645
63;1.01590710008821
63.5;1.01718557830175
64;1.01843070138632
64.5;1.01964332223327
65;1.02082427266266
65.5;1.02197436391026
66;1.02309438710492
66.5;1.02418511373649
67;1.02524729611433
67.5;1.02628166781655
68;1.02728894413006
68.5;1.02826982248161
69;1.02922498285984
69.5;1.03015508822852
70;1.03106078493107
70.5;1.03194270308659
71;1.03280145697732
71.5;1.0336376454279
72;1.03445185217632
72.5;1.03524464623692
73;1.0360165822554
73.5;1.03676820085602
74;1.03750002898121
74.5;1.03821258022356
75;1.03890635515047
75.5;1.03958184162149
76;1.04023951509854
76.5;1.04087983894917
77;1.04150326474282
77.5;1.04211023254047
78;1.04270117117761
78.5;1.04327649854065
79;1.04383662183712
79.5;1.04438193785947
80;1.04491283324288
80.5;1.04542968471697
81;1.0459328593517
81.5;1.04642271479752
82;1.04689959951982
82.5;1.04736385302796
83;1.04781580609877
83.5;1.04825578099487
84;1.04868409167778
