field;area;variable;method;nmax;mdist;blk_l;blk_w;domain;expansion;resolution;epsg;date;n_orig;n_ras;RMSE_cv;min;max;mean;median;sd
GSS_08;2.31;Rho1_nrm;BK;60;100;40;20;field_domain;10;2x2;25832;20220429;669;14145;6.498;31.49;53.36;41.92;41.7;4.71
GSS_08;2.31;Gamma_nrm;BK;60;100;40;20;field_domain;10;2x2;25832;20220429;669;14145;0.01;1.4;1.63;1.52;1.54;0.07
GSS_08;2.31;H_nrm;BK;60;100;40;20;field_domain;10;2x2;25832;20220429;669;14145;0.114;94.35;97.27;95.01;94.66;0.71
GSS_08;2.31;SWI_nrm;BK;60;100;40;20;field_domain;10;2x2;25832;20220429;669;14145;0.292;2.82;4.95;3.68;3.66;0.42
