model;psill;range;kappa;ang1;ang2;ang3;anis1;anis2;variable
Nug;0.0182352808301468;0;0;0;0;0;1;1;Rho1_nrm
Gau;1.11482659177388;34.3586422202486;0;0;0;0;1;1;Rho1_nrm
Nug;0.0676237697092534;0;0;0;0;0;1;1;Gamma_nrm
Ste;0.972785790523591;47.123706778548;5;0;0;0;1;1;Gamma_nrm
Nug;0.0115443406281052;0;0;0;0;0;1;1;H_nrm
Ste;971495.553652574;1358715.68504171;0.8;0;0;0;1;1;H_nrm
Nug;0.0158988140868246;0;0;0;0;0;1;1;SWI_nrm
Gau;1.09867699158451;34.8844744986058;0;0;0;0;1;1;SWI_nrm
