"factor";"Estimate";"Std. Error";"t value";"Pr(>|t|)"
"(Intercept)";-404.1286;6.1417;-65.8008;0.0097
"Gamma";-30.8853;0.2137;-144.5293;0.0044
"DEM";5.0913;0.0706;72.1139;0.0088
"ERa";-0.0675;7e-04;-101.6118;0.0063
