"";"Longitude";"Latitude";"variable";"obs";"sim";"var"
"1";456322.449;5497173.864;"CLAY";29.4;23.3;"< 0.002 mm"
"2";456329.084;5496977.469;"CLAY";21.6;26.5;"< 0.002 mm"
"3";456337.045;5496942.304;"CLAY";20.3;25.7;"< 0.002 mm"
"4";456307.188;5497106.851;"CLAY";31.1;28.3;"< 0.002 mm"
"5";456500.266;5496945.621;"CLAY";31.3;33.9;"< 0.002 mm"
"6";456260.08;5497173.864;"CLAY";33.2;32;"< 0.002 mm"
"7";456322.449;5497173.864;"SAND";14.3;31.1;"0.063 - 2 mm"
"8";456329.084;5496977.469;"SAND";32;18.4;"0.063 - 2 mm"
"9";456337.045;5496942.304;"SAND";38.7;22.6;"0.063 - 2 mm"
"10";456307.188;5497106.851;"SAND";10.4;17.3;"0.063 - 2 mm"
"11";456500.266;5496945.621;"SAND";8.3;5.8;"0.063 - 2 mm"
"12";456260.08;5497173.864;"SAND";7.7;8.3;"0.063 - 2 mm"
"13";456322.449;5497173.864;"SILT";56.3;45.6;"0.002 - 0.063 mm"
"14";456329.084;5496977.469;"SILT";46.4;55.1;"0.002 - 0.063 mm"
"15";456337.045;5496942.304;"SILT";41;51.7;"0.002 - 0.063 mm"
"16";456307.188;5497106.851;"SILT";58.5;54.4;"0.002 - 0.063 mm"
"17";456500.266;5496945.621;"SILT";60.4;60.3;"0.002 - 0.063 mm"
"18";456260.08;5497173.864;"SILT";59.1;59.7;"0.002 - 0.063 mm"
