"CLAY";"SILT";"SAND";"Gamma";"DEM";"ERa";"GWI"
29.4;56.3;14.3;1.79954898357391;91.2012939453125;63.6114234924316;2.80467009544373
21.6;46.4;32;1.68318545818329;90.6419982910156;49.7790069580078;3.34462690353394
20.3;41;38.7;1.75303995609283;90.9244079589844;71.1126098632812;2.45178484916687
31.1;58.5;10.4;1.82283937931061;91.1987152099609;46.1354370117188;3.96177124977112
31.3;60.4;8.3;1.88166260719299;90.7080001831055;32.8549957275391;5.85104513168335
33.2;59.1;7.7;1.88151907920837;90.8099975585938;34.0951156616211;5.52006483078003
