"y";"x";"cor"
"Gamma";"Gamma";1
"DEM";"Gamma";0.49
"ERa";"Gamma";-0.27
"GWI";"Gamma";0.48
"DEM";"DEM";1
"ERa";"DEM";0.14
"GWI";"DEM";-0.05
"ERa";"ERa";1
"GWI";"ERa";-0.93
"GWI";"GWI";1
