"y";"x";"cor"
"Gamma";"Gamma";1
"DEM";"Gamma";0.17
"ERa";"Gamma";-0.67
"GWI";"Gamma";0.78
"DEM";"DEM";1
"ERa";"DEM";-0.01
"GWI";"DEM";0.22
"ERa";"ERa";1
"GWI";"ERa";-0.91
"GWI";"GWI";1
