"CLAY";"SILT";"SAND";"GWI";"GWI.1"
40;59;1;13.0044193267822;13.0044193267822
46.2;51.5;2.3;10.5960741043091;10.5960741043091
48.6;47.1;4.3;12.5901069641113;12.5901069641113
51;48;1;11.108907699585;11.108907699585
51.3;45.8;2.9;11.8372716903687;11.8372716903687
39.5;59.2;1.3;11.0360441207886;11.0360441207886
