"";"Longitude";"Latitude";"variable";"obs";"sim";"var"
"1";458170.966;5497606.812;"SAND";1;4.7;"0.063 - 2 mm"
"2";458156.436;5497541.771;"SAND";2.3;1.3;"0.063 - 2 mm"
"3";458260.57;5497537.62;"SAND";4.3;1.3;"0.063 - 2 mm"
"4";458203.262;5497523.867;"SAND";1;2.1;"0.063 - 2 mm"
"5";458122.995;5497531.027;"SAND";2.9;1.7;"0.063 - 2 mm"
"6";458217.671;5497490.223;"SAND";1.3;1.9;"0.063 - 2 mm"
"7";458170.966;5497606.812;"CLAY";40;50.9;"< 0.002 mm"
"8";458156.436;5497541.771;"CLAY";46.2;47.5;"< 0.002 mm"
"9";458260.57;5497537.62;"CLAY";48.6;43.7;"< 0.002 mm"
"10";458203.262;5497523.867;"CLAY";51;45.2;"< 0.002 mm"
"11";458122.995;5497531.027;"CLAY";51.3;45;"< 0.002 mm"
"12";458217.671;5497490.223;"CLAY";39.5;49.3;"< 0.002 mm"
"13";458170.966;5497606.812;"SILT";59;44.3;"0.002 - 0.063 mm"
"14";458156.436;5497541.771;"SILT";51.5;51.1;"0.002 - 0.063 mm"
"15";458260.57;5497537.62;"SILT";47.1;54.9;"0.002 - 0.063 mm"
"16";458203.262;5497523.867;"SILT";48;52.7;"0.002 - 0.063 mm"
"17";458122.995;5497531.027;"SILT";45.8;53.3;"0.002 - 0.063 mm"
"18";458217.671;5497490.223;"SILT";59.2;48.8;"0.002 - 0.063 mm"
