"Y";"X";"mod";"alpha";"beta";"theta"
"CLAY";"Gamma";"grw_incr";0.6602;2.3324;NA
"CLAY";"Gamma";"grw_incr_pot";0;12.0626;13.2208
"CLAY";"ERa";"";NA;NA;NA
"CLAY";"ERa";"";NA;NA;NA
"CLAY";"GWI";"";NA;NA;NA
"CLAY";"GWI";"grw_decr_pot";21.0668;NA;1.0398
"SILT";"Gamma";"grw_incr";0.8699;2.3817;NA
"SILT";"Gamma";"grw_incr_pot";0;15.8626;19.4083
"SILT";"ERa";"";NA;NA;NA
"SILT";"ERa";"";NA;NA;NA
"SILT";"GWI";"";NA;NA;NA
"SILT";"GWI";"grw_decr_pot";29.6381;NA;1.0705
"SAND";"Gamma";"dec_incr";1.521;0;0.1324
"SAND";"Gamma";"dec_incr_pot";1e-04;0.1186;1.5234
"SAND";"ERa";"grw_incr";43.5969;0.0034;NA
"SAND";"ERa";"";NA;NA;NA
"SAND";"GWI";"dec_decr";67.9278;0.0729;NA
"SAND";"GWI";"";NA;NA;NA
