"Y";"X";"mod";"alpha";"beta";"theta"
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"ERa";"grw_decr";36.2773;0.2768;0.0473
"CLAY";"ERa";"grw_decr_pot";35.2632;NA;0.1091
"CLAY";"GWI";"";NA;NA;NA
"CLAY";"GWI";"";NA;NA;NA
"SILT";"Gamma";"grw_incr";55.2424;0.0806;NA
"SILT";"Gamma";"";NA;NA;NA
"SILT";"ERa";"grw_incr";58.3903;0.0023;NA
"SILT";"ERa";"";NA;NA;NA
"SILT";"GWI";"dec_decr";68.9618;0.0173;NA
"SILT";"GWI";"";NA;NA;NA
"SAND";"Gamma";"dec_incr";1.7255;0.0028;0.4659
"SAND";"Gamma";"";NA;NA;NA
"SAND";"ERa";"dec_decr";121.1654;0.1195;NA
"SAND";"ERa";"dec_decr_pot";171.2793;0.1336;0.1944
"SAND";"GWI";"grw_incr";0.0579;0.7067;NA
"SAND";"GWI";"grw_incr_pot";4.1457;0.1709;-7.4238
