"Y";"X";"mod";"alpha";"beta";"theta"
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"ERa";"";NA;NA;NA
"CLAY";"ERa";"";NA;NA;NA
"CLAY";"GWI";"";NA;NA;NA
"CLAY";"GWI";"";NA;NA;NA
"SILT";"Gamma";"";NA;NA;NA
"SILT";"Gamma";"";NA;NA;NA
"SILT";"ERa";"dec_incr";33.5498;0;0.3678
"SILT";"ERa";"";NA;NA;NA
"SILT";"GWI";"";NA;NA;NA
"SILT";"GWI";"grw_decr_pot";47.4918;NA;0.2542
"SAND";"Gamma";"dec_decr";164963.3888;5.0279;NA
"SAND";"Gamma";"dec_decr_pot";102857843.7438;9.041;7.5093
"SAND";"ERa";"";NA;NA;NA
"SAND";"ERa";"";NA;NA;NA
"SAND";"GWI";"";NA;NA;NA
"SAND";"GWI";"";NA;NA;NA
