"y";"x";"cor"
"Gamma";"Gamma";1
"DEM";"Gamma";-0.11
"ERa";"Gamma";-0.38
"GWI";"Gamma";0.51
"DEM";"DEM";1
"ERa";"DEM";0.06
"GWI";"DEM";-0.02
"ERa";"ERa";1
"GWI";"ERa";-0.97
"GWI";"GWI";1
