"y";"x";"cor"
"Gamma";"Gamma";1
"DEM";"Gamma";-0.57
"ERa";"Gamma";-0.78
"GWI";"Gamma";0.83
"DEM";"DEM";1
"ERa";"DEM";0.28
"GWI";"DEM";-0.32
"ERa";"ERa";1
"GWI";"ERa";-0.92
"GWI";"GWI";1
