"Y";"X";"mod";"alpha";"beta";"theta"
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"ERa";"";NA;NA;NA
"CLAY";"ERa";"";NA;NA;NA
"CLAY";"GWI";"";NA;NA;NA
"CLAY";"GWI";"";NA;NA;NA
"SILT";"Gamma";"";NA;NA;NA
"SILT";"Gamma";"";NA;NA;NA
"SILT";"ERa";"";NA;NA;NA
"SILT";"ERa";"";NA;NA;NA
"SILT";"GWI";"";NA;NA;NA
"SILT";"GWI";"";NA;NA;NA
"SAND";"Gamma";"dec_decr";2067067.8692;6.4928;NA
"SAND";"Gamma";"";NA;NA;NA
"SAND";"ERa";"";NA;NA;NA
"SAND";"ERa";"";NA;NA;NA
"SAND";"GWI";"";NA;NA;NA
"SAND";"GWI";"";NA;NA;NA
