"y";"x";"cor"
"Gamma";"Gamma";1
"DEM";"Gamma";-0.81
"ERa";"Gamma";-0.87
"GWI";"Gamma";0.9
"DEM";"DEM";1
"ERa";"DEM";0.82
"GWI";"DEM";-0.83
"ERa";"ERa";1
"GWI";"ERa";-0.97
"GWI";"GWI";1
