"Y";"X";"mod";"alpha";"beta";"theta"
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"ERa";"dec_decr";24.067;0.0022;NA
"CLAY";"ERa";"dec_decr_pot";6936.8566;0.1918;20.0991
"CLAY";"GWI";"grw_incr";18.3282;0.0542;NA
"CLAY";"GWI";"grw_incr_pot";0.0045;1.8236;20.0126
"SILT";"Gamma";"";NA;NA;NA
"SILT";"Gamma";"";NA;NA;NA
"SILT";"ERa";"";NA;NA;NA
"SILT";"ERa";"";NA;NA;NA
"SILT";"GWI";"";NA;NA;NA
"SILT";"GWI";"grw_decr_pot";36.3067;NA;1.0041
"SAND";"Gamma";"dec_decr";418.4136;1.5818;NA
"SAND";"Gamma";"";NA;NA;NA
"SAND";"ERa";"grw_decr";55.4055;0.6296;0.0242
"SAND";"ERa";"grw_decr_pot";52.6768;NA;0.0395
"SAND";"GWI";"dec_decr";59.3172;0.0967;NA
"SAND";"GWI";"dec_decr_pot";30.3113;0.4997;37.2772
